Year,hole_area,Dobson Units,co2,co2_growth_prct,co2_growth_abs,consumption_co2,trade_co2,trade_co2_share,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,other_co2_per_capita,share_global_coal_co2,share_global_oil_co2,share_global_gas_co2,share_global_flaring_co2,share_global_cement_co2,cumulative_coal_co2,cumulative_oil_co2,cumulative_gas_co2,cumulative_flaring_co2,cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_oil_co2,share_global_cumulative_gas_co2,share_global_cumulative_flaring_co2,share_global_cumulative_cement_co2,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,primary_energy_consumption,energy_per_capita,energy_per_gdp,population,gdp
1999,23.3,102.9,90256.26,1729.1839999999995,945.5730000000001,21940.862,606.2649999999994,2517.6900000000014,1037.3939999999996,687.3200000000002,366.28800000000007,3962052.521000002,390.30799999999994,72.35,48.09700000000001,26.975,2478.0670000000005,30946.356999999996,848.0870000000002,18636.52700000001,36095.46099999997,486.027,21.525999999999996,186.807,15.695999999999996,252.10099999999994,556.7500000000001,4.502,356.5439999999999,357.2120000000002,402.625,386.84000000000003,362.07599999999996,2079272.1,1313946.6949999998,454370.024,37782.173,71328.53099999996,403.7919999999999,370.8309999999998,390.046,367.9069999999999,399.31899999999996,76144.44,1509.6890000000005,14843.699999999997,389.478,5387.5199999999995,118.45699999999998,213173.93400000007,3812716.5240000016,341.9989999999999,17670731112.0,107734149504352.0
2000,24.8,98.7,92645.114,1536.9389999999996,2378.9199999999996,22641.763000000003,646.4839999999999,2659.118,1107.944,701.0500000000003,365.7340000000001,4053921.967999998,389.71900000000005,68.175,45.08899999999998,27.170999999999996,2587.508,32171.27199999999,984.9910000000002,19069.393000000007,36569.092000000004,487.195,22.090999999999998,197.942,16.404999999999998,263.64700000000005,603.3839999999998,4.470000000000001,357.49300000000005,355.7129999999997,401.819,372.39799999999997,361.48899999999975,2111443.372,1350515.788,473439.41300000006,38767.15999999999,73916.04600000002,403.00699999999995,370.39599999999984,390.50799999999987,368.0219999999998,397.85599999999994,77312.86999999998,1488.4189999999996,14772.389999999998,379.9039999999997,5350.400000000001,116.36100000000002,218448.13499999998,3815465.9469999997,322.34800000000007,17900882312.0,114242952719456.0
2001,25.0,100.9,93621.94299999996,1422.6220000000005,980.5399999999996,22702.964000000004,552.781,2534.8309999999983,1119.1639999999995,701.2299999999998,366.52999999999975,4146771.9700000044,389.1700000000001,68.12000000000002,45.12299999999999,27.021999999999988,2684.3769999999995,32424.139999999996,991.0869999999999,19324.090000000007,36947.02600000002,479.27700000000004,21.749999999999993,200.1850000000001,19.630000000000003,262.67399999999986,610.4099999999999,4.520999999999999,358.34799999999996,356.36099999999993,403.3199999999998,372.2259999999999,359.09800000000007,2143867.519000001,1387462.823,492763.5050000001,39758.25099999999,76600.41899999998,402.2479999999999,370.01199999999994,390.9909999999999,368.119,396.3549999999999,79171.24000000003,1543.1299999999994,14944.740000000002,380.1849999999999,5428.030000000001,116.833,220919.296,3864608.0570000005,322.04099999999994,18130839008.0,116845668952544.0
2002,12.0,157.4,95421.78499999999,695.6740000000002,1781.5439999999994,23262.320000000003,545.813,2405.516,1120.6779999999999,710.5160000000003,365.21299999999985,4241403.679999999,388.59499999999997,66.38499999999998,44.157999999999994,27.064999999999994,2817.2260000000006,33597.545000000006,1029.8609999999999,19863.199999999997,36837.26499999999,486.62399999999997,22.21399999999999,200.88399999999996,21.010000000000005,269.1460000000001,602.779,4.645999999999999,356.01000000000005,355.62000000000006,402.3330000000001,371.798,357.56700000000006,2177465.051999999,1424300.0840000003,512626.70800000004,40788.11699999999,79417.64199999998,401.43399999999997,369.6249999999999,391.419,368.21099999999996,394.83599999999973,81921.51,1624.6899999999996,15505.920000000002,398.846,5558.410000000002,116.92000000000004,225920.34699999995,3907295.675,312.91200000000015,18361886704.0,120557896160544.0
2003,25.8,108.7,99717.473,1239.839,4260.883000000001,24351.407000000003,429.6299999999998,2843.3669999999993,1152.4699999999998,764.2399999999997,363.89399999999995,4340296.279,387.999,66.68100000000001,45.58799999999999,27.36000000000001,3004.468,36085.962,1039.4259999999997,20636.498,37629.49699999999,496.7530000000002,22.663000000000018,211.23800000000008,20.461999999999996,277.9150000000001,615.4730000000001,4.733999999999997,353.42899999999986,354.288,404.1499999999999,374.78799999999995,354.927,2213551.0120000006,1461929.5729999996,533263.2,41827.543999999994,82422.11800000002,400.55799999999994,369.21500000000003,391.902,368.37600000000003,393.2149999999999,83786.97,1655.394,15574.77,405.78299999999996,5590.6500000000015,115.25599999999996,234191.08900000004,3982003.665,306.9659999999998,18592985816.0,124358138742720.0
2004,19.5,123.5,103831.362,1115.1779999999997,4042.3490000000006,25540.792000000005,449.709,2685.5759999999996,1169.266,765.2239999999997,361.54600000000005,4443231.245999999,387.34099999999995,64.11700000000002,43.303999999999995,36.775000000000006,3204.107000000001,38111.64600000001,1122.7539999999997,21294.239,38686.953000000016,515.2629999999999,23.659000000000013,211.43499999999992,20.547,290.66799999999995,618.1880000000002,4.772,350.36100000000005,351.93700000000007,403.756,372.95699999999994,353.782,2251662.657000001,1500616.5259999998,554557.446,42950.28899999999,85626.22200000001,399.59599999999995,368.751,392.34400000000005,368.4940000000001,391.5870000000001,87169.93000000002,1582.9940000000008,15905.020000000002,387.312,5721.690000000002,113.22400000000005,245657.616,4183261.348,307.1779999999999,18825856016.0,131502607381376.0
2005,24.4,113.8,106717.695,624.5630000000003,2849.5170000000003,26412.038000000008,441.6070000000001,3101.2990000000004,1173.7740000000001,786.0659999999998,359.6749999999997,4549015.716999999,386.65099999999995,59.684999999999995,41.53500000000001,35.70900000000001,3371.383,40047.33199999999,1198.7180000000003,21783.503000000008,38856.49400000001,527.0500000000001,23.936000000000003,206.47999999999993,26.881999999999994,290.49900000000014,621.0719999999999,4.899000000000001,347.097,350.937,403.4110000000001,373.23799999999994,352.11899999999997,2291709.991,1539473.0159999998,576340.9480000001,44149.007,88997.60599999999,398.5349999999999,368.2750000000001,392.747,368.626,389.9349999999999,88922.68999999999,1633.5320000000013,15862.420000000004,394.312,5711.68,113.79100000000001,254160.364,4268999.313999997,289.44100000000003,19061121008.0,140994277797312.0
2006,26.6,98.4,109913.34300000001,749.4130000000004,3144.5049999999987,27275.303999999993,456.3740000000002,3469.739,1185.6559999999993,813.1330000000002,358.619,4657944.682,385.94399999999985,57.17899999999999,40.6,39.63299999999999,3656.3459999999995,42240.246999999996,1219.0810000000001,22292.209,38973.657000000014,547.437,24.926999999999992,213.97199999999998,25.119999999999997,293.31199999999995,623.3509999999999,4.989000000000001,346.37899999999985,349.2480000000001,403.5159999999999,377.656,349.708,2333950.231000001,1578446.656,598633.1590000002,45368.089,92653.954,397.45099999999996,367.77599999999995,393.1389999999999,368.85699999999997,388.1739999999999,89660.60000000003,1558.9909999999995,16206.970000000003,381.29900000000015,5770.060000000002,111.76600000000006,261643.14499999996,4271069.306000002,276.2249999999998,19299026064.0,149644936559360.0
2007,22.0,116.2,112697.70400000003,1013.2529999999997,2726.379999999998,28070.037,368.92899999999906,3403.5059999999994,1197.8290000000004,800.9629999999997,356.79599999999994,4769600.018000002,385.20899999999995,53.599,38.45,39.79500000000001,3911.9100000000008,44073.24300000001,1277.8100000000004,22911.558999999997,38927.81500000001,553.0139999999999,26.141000000000023,216.72000000000006,23.032000000000007,301.7620000000001,625.1119999999996,5.055000000000001,344.9979999999999,346.899,401.22500000000014,378.05400000000003,349.2199999999999,2378023.469000001,1617374.4739999995,621544.718,46645.89999999998,96565.86199999998,396.3359999999999,367.2489999999999,393.4380000000001,369.09999999999985,386.424,91292.80999999998,1574.1739999999995,16237.040000000005,383.26900000000006,5867.580000000002,112.67700000000004,269909.3989999999,4273871.727,258.97900000000016,19539472208.0,159182180889344.0
2008,25.2,114.0,114658.899,696.158,1939.045,28613.681000000008,362.3579999999997,4048.6099999999974,1192.9160000000002,839.709,355.60400000000004,4883201.794000002,384.4639999999999,51.43900000000001,38.417999999999985,27.416999999999998,3950.6420000000007,45434.466,1313.9969999999996,23533.571000000004,38835.94100000001,533.1629999999999,26.376999999999992,212.588,21.729000000000003,303.4200000000002,623.8870000000011,4.920999999999998,342.6210000000001,346.76299999999986,400.6859999999999,373.74699999999996,347.487,2423457.9390000007,1656210.4200000002,645078.283,47959.896,100516.48899999999,395.1669999999999,366.73600000000005,393.69399999999996,369.23099999999994,384.733,91931.67,1537.6990000000014,16370.360000000002,370.6160000000001,5816.430000000003,110.49900000000005,273297.151,4207193.479,239.33499999999992,19782110832.0,165455444027328.0
